Key,Chapter,Index,Name,Text
1,0,0,Radio,우리 어릴 때 구름을 보면서 ‘저건 코끼리다!’ ‘저건 아이스크림이다!’ 잔뜩 상상의 나래를 펼치고는 했잖아요.
2,0,1,Radio,"오늘 밤 별똥별이 밤하늘을 수놓을 예정이라고 합니다."
3,0,2,Radio,"우리 오래간만에 별들을 보며 나만의 재미있는 상상도 해보고 소원도 빌어보면서 나를 위한 잠깐의 여유 가져보는 건 어때요?"
4,3,0,Parent,네로야. 고양이라면 사냥을 잘 해야해. 사냥물을 보면서 재빠르게 뛸 줄 아는 것. 그게 제일 중요한거야.
5,3,1,Nero,왜요? 빠르게 뛰면 꽃들을 볼 수가 없어요. 꽃들은 정말 신비하고 아름다워서 천천히 자세히 들여다 보아야 하거든요.
6,3,2,Parent,하지만 꽃들이 우리 배를 채워주지는 못한단다. 사냥을 잘 못하면 모두가 무시하고 바보 취급할거야.
7,3,3,Nero,오늘은 꼭 사냥에 성공해서 엄마아빠한테 인정 받아야지!
8,3,4,Parent,오늘도 사냥에 실패한거니? 어라 이 꽃잎은 뭐야? 또 꽃에 정신이 팔려서 사냥을 못한거구나.
9,3,5,Parent,옆집 냥냥이는 오늘도 새를 사냥해왔다고 하던데...휴..
10,3,6,Nero,뭐야. 아직도 내 그림자는 아직도 고양이잖아! 난 오늘도 나비가 되지 못한거야.
11,3,7,Nero,이런 꽃들이 무슨 의미가 있는거야. 난 사냥도 못하는 바보 고양이야.
12,3,8,Sunhwa,와! 고양이다.